competition,year,phase,date,away_team,home_team,away_score,home_score,venue,notes,away_coach,home_coach,is_double_header,date_precision,date_display,time,status,confidence_level,is_playoff,is_title_game,final_type,title_name,playoff_round,parent_phase
BAFA National Leagues,2025,NFC 1 SCOTTISH,2025-05-18,Aberdeen Roughnecks,Inverclyde Goliaths,12,50,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,NFC 1 NORTH,2025-05-18,Sheffield Giants,Chester Romans,7,25,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,NFC 1 NORTH,2025-05-18,Yorkshire Rams,Merseyside Nighthawks,28,0,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,NFC 1 MIDLANDS,2025-05-18,Birmingham Bulls,Sandwell Steelers,0,31,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,SFC 1 EAST,2025-05-18,Colchester Gladiators,Kent Exiles,26,0,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,SFC 1 CENTRAL,2025-05-18,Sussex Thunder,Berkshire Renegades,24,0,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,SFC 1 CENTRAL,2025-05-18,London Blitz B,Wembley Stallions,12,59,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,SFC 1 WEST,2025-05-18,Bristol Apache,South Wales Warriors,7,9,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,NFC 2 NORTH,2025-05-18,Doncaster Mustangs,Humber Warhawks,0,1,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,NFC 2 MIDLANDS,2025-05-18,Leigh Miners,Lincolnshire Bombers,14,35,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,SFC 2 EAST,2025-05-18,Ouse Valley Eagles,Ipswich Cardinals,15,20,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,NFC 1 SCOTTISH,2025-05-25,Rossendale Bucks,Glasgow Tigers,12,49,,,,,FALSE,day,,14:30,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,NFC 1 NORTH,2025-05-25,Scunthorpe Alphas,Sheffield Giants,48,12,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,NFC 1 MIDLANDS,2025-05-25,Birmingham Bulls,Northants Knights,39,0,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,NFC 1 MIDLANDS,2025-05-25,Shropshire Revolution,Staffordshire Surge,0,27,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,SFC 1 EAST,2025-05-25,Kent Exiles,East Kent Mavericks,0,29,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
