competition,year,phase,date,away_team,home_team,away_score,home_score,venue,notes,away_coach,home_coach
bcafl,2006,,,Anglia Ruskin Phantoms,Brighton Panthers,8,18,Falmer Campus,,,Eber Kington
bcafl,2005,,,Greenwich Mariners,Brighton Panthers,30,2,Falmer Campus,,,Chris Emery
bcafl,2005,,,Southampton Stags,Brighton Panthers,85,0,Falmer Campus,,,Chris Emery
bcafl,2005,,,Brighton Panthers,Oxford Cavaliers,6,12,,,Chris Emery,
bcafl,2005,,,Brighton Panthers,Surrey Stingers,0,28,,,Chris Emery,
bcafl,2005,,,Royal Holloway Bears,Brighton Panthers,0,32,Falmer Campus,,,Chris Emery
bcafl,2005,,,Brighton Panthers,UEA Pirates,6,20,,,Chris Emery,
bcafl,2005,,,Brighton Panthers,Reading Knights,16,8,,,Chris Emery,
bcafl,2005,,,Kent Falcons,Brighton Panthers,8,6,Falmer Campus,,,Chris Emery
bcafl,2004,,,Reading Knights,Brighton Panthers,10,30,Falmer Campus,,,Chris Emery
bcafl,2004,,,Brighton Panthers,Southampton Stags,0,61,,,Chris Emery,
bcafl,2004,,,Brighton Panthers,Warwick Wolves,20,26,,,Chris Emery,
bcafl,2004,,,Essex Blades,Brighton Panthers,21,15,Falmer Campus,,,Chris Emery
bcafl,2004,,,Brighton Panthers,Surrey Stingers,0,0,,,Chris Emery,
bcafl,2004,,,UWE Bullets,Brighton Panthers,20,8,Falmer Campus,,,Chris Emery
bcafl,2004,,,Southampton Stags,Brighton Panthers,13,21,Falmer Campus,,,Chris Emery
bcafl,2004,,,Brighton Panthers,Kent Falcons,14,0,,,Chris Emery,
bcafl,2003,,,Essex Blades,Brighton Panthers,9,8,Falmer Campus,,,Chris Emery
bcafl,2003,,,Brighton Panthers,Anglia Ruskin Phantoms,1,0,,,Chris Emery,
bcafl,2003,,,Plymouth Blitz,Brighton Panthers,6,0,Falmer Campus,,,Chris Emery
bcafl,2003,,,Reading Knights,Brighton Panthers,0,21,Falmer Campus,,,Chris Emery
bcafl,2003,,,Brighton Panthers,Southampton Stags,0,56,,,Chris Emery,
bcafl,2003,,,Brighton Panthers,Surrey Stingers,6,2,,,Chris Emery,
bcafl,2003,,,Brighton Panthers,Reading Knights,8,0,,,Chris Emery,
